stt,ngay_gio,phien,loc_phien_chet,nhanh,huong,entry,SL,TP,RR,KQ,R,VSA,climax,hop_luu,grade,retrace,leg_gia,hap_thu,rut_rau,tp_vuong_vung,chi_tiet,diem_1_5(dien),ly_do(dien)
124,2026-07-22 14:07,Au,,CBR,LONG,4162.3,4158.4,4174.0,3,LOSS,-1.0,2.76,tim,0,B,74%,13.7,,,,phá 4155.1 · hồi 74% · leg 13.7giá · VSA 2.8x tím,,
125,2026-07-22 15:02,Au,,CBR,LONG,4157.5,4154.5,4166.5,3,WIN,+3.0,2.13,-,0,B,54%,2.4,,,,phá 4154.8 · hồi 54% · leg 2.4giá · VSA 2.1x,,
126,2026-07-22 19:52,My,,QUAY_DAU,LONG,4137.7,4135.203,4141.446,1.5,LOSS,-1.0,3.66,tim,0,B,,,✓,✓,,đảo chiều VWAP 4135.403 · rút râu dưới · VSA 3.7x tím · hấp thụ ✓,,
127,2026-07-23 07:53,DEM,BỎ(phiên chết),CBR,SHORT,4094.4,4098.8,4081.2,3,LOSS,-1.0,2.76,tim,0,B,54%,8.4,,,2.5R,phá 4102.5 · hồi 54% · leg 8.4giá · VSA 2.8x tím · TP vướng vùng ↧2.5R,,
128,2026-07-23 08:18,A,,CBR,SHORT,4094.1,4097.1,4085.1,3,LOSS,-1.0,2.06,-,0,B,83%,3.0,,,,phá 4095.9 · hồi 83% · leg 3.0giá · VSA 2.1x,,
129,2026-07-23 12:20,A,,CBR,SHORT,4077.8,4082.0,4065.2,3,WIN,+3.0,6.39,tim,1,B,78%,8.7,,,0.4R,phá 4083.7 · hồi 78% · leg 8.7giá · VSA 6.4x tím · TP vướng vùng ↧0.4R,,
130,2026-07-23 13:05,A,,CBR,SHORT,4055.3,4059.9,4041.5,3,LOSS,-1.0,3.57,tim,1,B,48%,6.3,,,,phá 4063.0 · hồi 48% · leg 6.3giá · VSA 3.6x tím,,
131,2026-07-24 01:06,My,,CBR,SHORT,4045.6,4048.6,4036.6,3,LOSS,-1.0,3.91,tim,0,B,57%,8.9,,,0.5R,phá 4050.8 · hồi 57% · leg 8.9giá · VSA 3.9x tím · TP vướng vùng ↧0.5R,,
132,2026-07-24 18:31,Au,,CBR,SHORT,4056.5,4059.5,4047.5,3,LOSS,-1.0,3.89,tim,0,B,50%,3.4,,,0.5R,phá 4060.6 · hồi 50% · leg 3.4giá · VSA 3.9x tím · TP vướng vùng ↧0.5R,,
133,2026-07-26 23:46,My,,QUAY_DAU,LONG,4094.9,4092.844,4097.984,1.5,WIN,+1.5,3.68,tim,0,B,,,✓,✓,,đảo chiều VWAP 4093.044 · rút râu dưới · VSA 3.7x tím · hấp thụ ✓,,
134,2026-07-27 07:11,DEM,,QUAY_DAU,LONG,4100.8,4099.2,4103.2,1.5,WIN,+1.5,2.11,-,0,B,,,,✓,,đảo chiều VWAP 4099.648 · rút râu dưới · VSA 2.1x,,
135,2026-07-27 16:34,Au,,CBR,LONG,4093.5,4090.5,4102.5,3,LOSS,-1.0,6.28,tim,1,B,42%,10.1,,,0.2R,phá 4085.0 · hồi 42% · leg 10.1giá · VSA 6.3x tím · TP vướng vùng ↧0.2R,,
136,2026-07-27 17:06,Au,,CBR,SHORT,4075.6,4078.9,4065.7,3,LOSS,-1.0,2.75,tim,0,B,42%,4.3,,,0.9R,phá 4081.2 · hồi 42% · leg 4.3giá · VSA 2.8x tím · TP vướng vùng ↧0.9R,,
137,2026-07-28 06:40,DEM,,QUAY_DAU,SHORT,4051.3,4053.066,4048.651,1.5,WIN,+1.5,2.05,-,0,B,,,,✓,1.3R,đảo chiều VWAP 4052.866 · rút râu trên · VSA 2.1x · TP vướng vùng ↧1.3R,,
138,2026-07-28 09:35,A,,CBR,SHORT,4032.9,4038.9,4014.9,3,WIN,+3.0,3.39,tim,0,B,52%,5.2,,,,phá 4041.2 · hồi 52% · leg 5.2giá · VSA 3.4x tím,,
139,2026-07-28 10:08,A,,CBR,SHORT,4023.8,4027.4,4013.0,3,LOSS,-1.0,7.28,tim,0,B,88%,10.3,,,,phá 4028.4 · hồi 88% · leg 10.3giá · VSA 7.3x tím,,
140,2026-07-28 13:47,A,,CBR,SHORT,4022.3,4025.5,4012.7,3,LOSS,-1.0,2.67,tim,0,B,79%,7.6,,,,phá 4026.9 · hồi 79% · leg 7.6giá · VSA 2.7x tím,,
