Time left;Time right;Open;High;Median;Low;Close;Typical;Volume;Quote asset volume;Weighted;
2026-06-30 17:00:00.000;2026-06-30 17:00:59.999;4040.8;4041.6;4040.75;4039.9;4040.8;4040.7666666666664;87;0;4040.7749999999996
2026-06-30 17:01:00.000;2026-06-30 17:01:59.999;4040.7;4041.1;4040.05;4039;4041.1;4040.4;161;0;4040.5750000000003
2026-06-30 17:02:00.000;2026-06-30 17:02:59.999;4041.1;4041.6;4041.3;4041;4041.4;4041.3333333333335;50;0;4041.35
2026-06-30 17:03:00.000;2026-06-30 17:03:59.999;4041.5;4042.5;4041.7;4040.9;4040.9;4041.433333333333;147;0;4041.2999999999997
2026-06-30 17:04:00.000;2026-06-30 17:04:59.999;4041;4042.5;4041.75;4041;4041.3;4041.6;59;0;4041.5249999999996
2026-06-30 17:05:00.000;2026-06-30 17:05:59.999;4041.2;4041.4;4039.8;4038.2;4039.5;4039.7000000000003;105;0;4039.65
2026-06-30 17:06:00.000;2026-06-30 17:06:59.999;4039.2;4039.5;4038.65;4037.8;4038.5;4038.6;107;0;4038.575
2026-06-30 17:07:00.000;2026-06-30 17:07:59.999;4038.9;4039.7;4039.25;4038.8;4038.8;4039.1;86;0;4039.0249999999996
2026-06-30 17:08:00.000;2026-06-30 17:08:59.999;4038.5;4038.5;4036.95;4035.4;4036.3;4036.7333333333336;232;0;4036.625
2026-06-30 17:09:00.000;2026-06-30 17:09:59.999;4036.5;4037.8;4037.1000000000004;4036.4;4037;4037.066666666667;77;0;4037.05
2026-06-30 17:10:00.000;2026-06-30 17:10:59.999;4036.9;4037.8;4036.9;4036;4036.4;4036.7333333333336;103;0;4036.65
2026-06-30 17:11:00.000;2026-06-30 17:11:59.999;4036.8;4037;4036.35;4035.7;4036.6;4036.433333333333;102;0;4036.475
2026-06-30 17:12:00.000;2026-06-30 17:12:59.999;4036.9;4036.9;4036.2;4035.5;4035.6;4036;79;0;4035.9
2026-06-30 17:13:00.000;2026-06-30 17:13:59.999;4036.2;4037.5;4036.2;4034.9;4035.6;4036;240;0;4035.9
2026-06-30 17:14:00.000;2026-06-30 17:14:59.999;4035.7;4037.9;4036.65;4035.4;4037.6;4036.9666666666667;153;0;4037.125
2026-06-30 17:15:00.000;2026-06-30 17:15:59.999;4037.5;4038.7;4038.1;4037.5;4038.1;4038.1;95;0;4038.1
2026-06-30 17:16:00.000;2026-06-30 17:16:59.999;4038;4040.1;4039;4037.9;4039.8;4039.2666666666664;78;0;4039.3999999999996
2026-06-30 17:17:00.000;2026-06-30 17:17:59.999;4039.8;4041.4;4040.45;4039.5;4041.4;4040.7666666666664;105;0;4040.9249999999997
2026-06-30 17:18:00.000;2026-06-30 17:18:59.999;4041.6;4042.8;4042.15;4041.5;4042;4042.1;88;0;4042.075
2026-06-30 17:19:00.000;2026-06-30 17:19:59.999;4041.9;4042.4;4041.65;4040.9;4040.9;4041.4;82;0;4041.275
2026-06-30 17:20:00.000;2026-06-30 17:20:59.999;4041.3;4041.5;4040.8;4040.1;4040.5;4040.7000000000003;62;0;4040.65
2026-06-30 17:21:00.000;2026-06-30 17:21:59.999;4041;4041.3;4040.6000000000004;4039.9;4039.9;4040.366666666667;68;0;4040.25
2026-06-30 17:22:00.000;2026-06-30 17:22:59.999;4040.1;4041.2;4040.1499999999996;4039.1;4039.8;4040.033333333333;142;0;4039.9749999999995
2026-06-30 17:23:00.000;2026-06-30 17:23:59.999;4039.7;4040.1;4039.55;4039;4039.9;4039.6666666666665;118;0;4039.725
2026-06-30 17:24:00.000;2026-06-30 17:24:59.999;4040.1;4040.5;4039;4037.5;4038.5;4038.8333333333335;138;0;4038.75
2026-06-30 17:25:00.000;2026-06-30 17:25:59.999;4038.1;4038.3;4037.9;4037.5;4038;4037.933333333333;55;0;4037.95
2026-06-30 17:26:00.000;2026-06-30 17:26:59.999;4037.9;4039.2;4038.3;4037.4;4038.3;4038.3000000000006;91;0;4038.3
2026-06-30 17:27:00.000;2026-06-30 17:27:59.999;4038.3;4039;4037.55;4036.1;4036.4;4037.1666666666665;156;0;4036.975
2026-06-30 17:28:00.000;2026-06-30 17:28:59.999;4036.8;4040.9;4038.8;4036.7;4039.7;4039.1;246;0;4039.25
2026-06-30 17:29:00.000;2026-06-30 17:29:59.999;4039.7;4040.2;4038.7;4037.2;4040;4039.133333333333;1354;0;4039.35
2026-06-30 17:30:00.000;2026-06-30 17:30:59.999;4040.1;4042.8;4041.3;4039.8;4042.5;4041.7000000000003;242;0;4041.9
2026-06-30 17:31:00.000;2026-06-30 17:31:59.999;4042.3;4042.8;4041.65;4040.5;4040.6;4041.2999999999997;59;0;4041.125
2026-06-30 17:32:00.000;2026-06-30 17:32:59.999;4040.6;4041.7;4041.1;4040.5;4040.9;4041.0333333333333;48;0;4041
2026-06-30 17:33:00.000;2026-06-30 17:33:59.999;4040.9;4043;4041.95;4040.9;4042.8;4042.2333333333336;56;0;4042.375
2026-06-30 17:34:00.000;2026-06-30 17:34:59.999;4043.1;4043.1;4042.6;4042.1;4042.6;4042.6;41;0;4042.6
2026-06-30 17:35:00.000;2026-06-30 17:35:59.999;4042;4042.8;4042.3500000000004;4041.9;4042.7;4042.466666666667;19;0;4042.5250000000005
2026-06-30 17:36:00.000;2026-06-30 17:36:59.999;4042.4;4043.3;4042.65;4042;4042.7;4042.6666666666665;52;0;4042.675
2026-06-30 17:37:00.000;2026-06-30 17:37:59.999;4042.5;4042.5;4041.85;4041.2;4041.8;4041.8333333333335;40;0;4041.825
2026-06-30 17:38:00.000;2026-06-30 17:38:59.999;4041.7;4041.8;4041.15;4040.5;4041;4041.1;33;0;4041.075
2026-06-30 17:39:00.000;2026-06-30 17:39:59.999;4041.3;4042;4041.35;4040.7;4041.7;4041.4666666666667;39;0;4041.5249999999996
2026-06-30 17:40:00.000;2026-06-30 17:40:59.999;4041.6;4042.2;4041.8999999999996;4041.6;4041.8;4041.8666666666663;11;0;4041.8499999999995
2026-06-30 17:41:00.000;2026-06-30 17:41:59.999;4041.6;4042;4041.4;4040.8;4042;4041.6;19;0;4041.7
2026-06-30 17:42:00.000;2026-06-30 17:42:59.999;4042.4;4044.6;4043.3999999999996;4042.2;4044.2;4043.6666666666665;55;0;4043.8
2026-06-30 17:43:00.000;2026-06-30 17:43:59.999;4044.5;4044.5;4044.1;4043.7;4044;4044.066666666667;32;0;4044.05
2026-06-30 17:44:00.000;2026-06-30 17:44:59.999;4044.4;4044.4;4044;4043.6;4044;4044;17;0;4044
2026-06-30 17:45:00.000;2026-06-30 17:45:59.999;4043.9;4045;4044.4;4043.8;4044.6;4044.4666666666667;64;0;4044.5
2026-06-30 17:46:00.000;2026-06-30 17:46:59.999;4044.7;4045.8;4045.25;4044.7;4044.8;4045.1;69;0;4045.0249999999996
2026-06-30 17:47:00.000;2026-06-30 17:47:59.999;4045.3;4045.3;4044.75;4044.2;4044.7;4044.7333333333336;19;0;4044.7250000000004
2026-06-30 17:48:00.000;2026-06-30 17:48:59.999;4044.5;4044.9;4044.55;4044.2;4044.8;4044.6333333333337;20;0;4044.675
2026-06-30 17:49:00.000;2026-06-30 17:49:59.999;4044.9;4045.5;4044.95;4044.4;4044.4;4044.7666666666664;21;0;4044.6749999999997
2026-06-30 17:50:00.000;2026-06-30 17:50:59.999;4044.8;4045.6;4045.1;4044.6;4045.3;4045.1666666666665;14;0;4045.2
2026-06-30 17:51:00.000;2026-06-30 17:51:59.999;4045.2;4046.7;4045.95;4045.2;4046.6;4046.1666666666665;41;0;4046.275
2026-06-30 17:52:00.000;2026-06-30 17:52:59.999;4046.4;4046.6;4046.3;4046;4046.5;4046.366666666667;19;0;4046.4
2026-06-30 17:53:00.000;2026-06-30 17:53:59.999;4046.9;4047.1;4046.75;4046.4;4046.4;4046.633333333333;19;0;4046.575
2026-06-30 17:54:00.000;2026-06-30 17:54:59.999;4046.5;4046.5;4046.2;4045.9;4046.3;4046.2333333333336;16;0;4046.25
