ngay_gio,kich_ban,huong,entry,SL,risk_gia,TP1,TP2,RR,VSA,climax,hop_luu,grade,KQ,ket_thuc_luc,chi_tiet
2026-07-17 20:50,CHAM_DAO,LONG,4051.2,4047.2,4.0,4057.2,4057.2,1.5,2.31,tim,2,B,WIN,2026-07-17 21:00,"thân mạnh · Δ+16 · VSA 2.3x tím · climax"
2026-07-29 23:55,PHA_HOI,LONG,4087.9,4083.6,4.3,4094.35,4094.35,1.5,4.63,tim,2,A,WIN,2026-07-30 00:04,"thân mạnh · Δ+104 · VSA 4.6x tím"
2026-07-30 05:44,CHAM_DAO,LONG,4138.5,4132.9,5.6,4146.9,4146.9,1.5,1.84,-,2,B,WIN,2026-07-30 05:56,"rút râu dưới · Δ+3 · VSA 2.4x tím · climax · xác nhận sau 3 nến"
2026-07-30 11:47,PHA_HOI,SHORT,4106.1,4110.1,4.0,4100.1,4100.1,1.5,1.24,-,2,A,WIN,2026-07-30 12:00,"rút râu trên · Δ-9 · VSA 1.7x · xác nhận sau 3 nến"
2026-07-30 16:30,PHA_HOI,SHORT,4123.2,4127.2,4.0,4117.2,4117.2,1.5,2.52,tim,2,A,LOSS,2026-07-30 16:37,"thân mạnh · Δ-104 · VSA 2.5x tím"
2026-07-31 20:34,CHAM_DAO,SHORT,4091.9,4095.9,4.0,4085.9,4085.9,1.5,2.71,tim,2,B,WIN,2026-07-31 20:39,"rút râu trên · Δ-310 · VSA 2.7x tím · climax"
2026-08-01 03:36,CHAM_DAO,SHORT,4107.7,4111.7,4.0,4101.7,4101.7,1.5,1.57,-,3,B,WIN,2026-08-01 03:53,"rút râu trên · Δ-4 · VSA 3.5x tím · climax · xác nhận sau 3 nến"
2026-08-03 18:26,CHAM_DAO,LONG,4106.0,4101.5,4.5,4112.75,4112.75,1.5,1.94,-,2,B,WIN,2026-08-03 18:49,"rút râu dưới · Δ+17 · VSA 2.5x tím · climax · xác nhận sau 3 nến"
2026-08-04 06:08,CHAM_DAO,SHORT,4108.3,4112.3,4.0,4102.3,4102.3,1.5,3.29,tim,2,B,LOSS,2026-08-04 07:00,"rút râu trên · Δ-39 · VSA 3.3x tím · climax"
2026-08-04 06:22,CHAM_DAO,SHORT,4109.1,4113.1,4.0,4103.1,4103.1,1.5,2.01,-,2,B,LOSS,2026-08-04 07:01,"rút râu trên · Δ-3 · VSA 3.4x tím · climax · xác nhận sau 1 nến"
2026-08-04 10:58,PHA_HOI,SHORT,4108.2,4112.2,4.0,4102.2,4102.2,1.5,2.07,-,2,A,LOSS,2026-08-04 11:14,"rút râu trên · Δ-7 · VSA 2.1x"
2026-08-10 08:05,CHAM_DAO,SHORT,4382.0,4387.5,5.5,4373.75,4373.75,1.5,5.24,tim,2,B,LOSS,2026-08-10 08:23,"thân mạnh · Δ-230 · VSA 5.2x tím · climax"
2026-08-10 10:29,CHAM_DAO,LONG,4387.9,4383.9,4.0,4393.9,4393.9,1.5,4.54,tim,2,B,LOSS,2026-08-10 11:03,"rút râu dưới · Δ+82 · VSA 4.5x tím · climax"
