ngay_gio,nhanh,huong,entry,SL,risk_gia,TP,RR,VSA,climax,co_vung,grade,tp_vuong_vung,KQ,ket_thuc_luc,chi_tiet
2026-07-28 06:55,QUAY_DAU,SHORT,4110.4,4111.8,1.4,4108.3,1.5,3.14,tim,0,B,-,WIN,2026-07-28 06:58,"đảo chiều VWAP 4110.568 · rút râu trên · VSA 3.1x tím · hấp thụ ✓"
2026-07-28 13:47,CBR,SHORT,4081.9,4085.2,3.3,4068.7,4,2.34,tim,0,B,1.7R,LOSS,2026-07-28 13:49,"phá 4087.0 · hồi 72% · leg 7.2giá · VSA 2.3x tím · TP vướng vùng ↧1.7R"
2026-07-29 04:00,QUAY_DAU,SHORT,4081.1,4083.3,2.2,4077.8,1.5,1.87,-,0,B,-,LOSS,2026-07-29 04:25,"đảo chiều VWAP 4082.175 · rút râu trên · VSA 1.9x"
2026-07-29 12:19,CBR,SHORT,4077.4,4082.2,4.8,4058.2,4,5.40,tim,1,B,0.1R,LOSS,2026-07-29 12:56,"phá 4084.6 · hồi 61% · leg 6.7giá · VSA 5.4x tím · TP vướng vùng ↧0.1R"
2026-07-29 23:58,QUAY_DAU,LONG,4143.5,4141.24,2.3,4146.891,1.5,2.45,tim,0,B,0.7R,LOSS,2026-07-30 00:01,"đảo chiều VWAP 4141.44 · rút râu dưới · VSA 2.5x tím · hấp thụ ✓ · TP vướng vùng ↧0.7R"
