ngay_gio,nhanh,huong,entry,SL,risk_gia,TP,RR,VSA,climax,co_vung,grade,tp_vuong_vung,KQ,ket_thuc_luc,chi_tiet
2026-07-28 06:55,QUAY_DAU,SHORT,4110.4,4111.8,1.4,4108.3,1.5,3.14,tim,0,B,-,WIN,2026-07-28 06:58,"đảo chiều VWAP 4110.568 · rút râu trên · VSA 3.1x tím · hấp thụ ✓"
2026-07-28 13:47,CBR,SHORT,4081.9,4085.2,3.3,4072.0,3,2.34,tim,0,B,1.7R,LOSS,2026-07-28 13:49,"phá 4087.0 · hồi 72% · leg 7.2giá · VSA 2.3x tím · TP vướng vùng ↧1.7R"
2026-07-29 01:12,CBR,SHORT,4073.1,4077.0,3.9,4061.4,3,5.58,tim,1,B,0.2R,LOSS,2026-07-29 01:28,"phá 4079.5 · hồi 74% · leg 10.3giá · VSA 5.6x tím · TP vướng vùng ↧0.2R"
2026-07-29 04:00,QUAY_DAU,SHORT,4081.1,4083.3,2.2,4077.8,1.5,1.87,-,0,B,-,LOSS,2026-07-29 04:25,"đảo chiều VWAP 4082.175 · rút râu trên · VSA 1.9x"
2026-07-29 10:51,CBR,SHORT,4086.0,4089.0,3.0,4077.0,3,3.72,tim,1,B,0.7R,LOSS,2026-07-29 11:15,"phá 4088.7 · hồi 70% · leg 3.3giá · VSA 3.7x tím · TP vướng vùng ↧0.7R"
2026-07-29 11:28,CBR,LONG,4092.7,4089.7,3.0,4101.7,3,2.75,tim,0,B,0.3R,LOSS,2026-07-29 11:35,"phá 4089.3 · hồi 47% · leg 3.2giá · VSA 2.8x tím · TP vướng vùng ↧0.3R"
2026-07-29 12:19,CBR,SHORT,4077.4,4082.2,4.8,4063.0,3,5.40,tim,1,B,0.1R,LOSS,2026-07-29 12:56,"phá 4084.6 · hồi 61% · leg 6.7giá · VSA 5.4x tím · TP vướng vùng ↧0.1R"
2026-07-29 23:58,QUAY_DAU,LONG,4143.5,4141.24,2.3,4146.891,1.5,2.45,tim,0,B,0.7R,LOSS,2026-07-30 00:01,"đảo chiều VWAP 4141.44 · rút râu dưới · VSA 2.5x tím · hấp thụ ✓ · TP vướng vùng ↧0.7R"
2026-07-30 15:51,CBR,LONG,4166.3,4163.3,3.0,4175.3,3,2.61,tim,0,B,-,WIN,2026-07-30 16:22,"phá 4161.4 · hồi 55% · leg 4.7giá · VSA 2.6x tím"
