ngay_gio,nhanh,huong,entry,SL,risk_gia,TP,RR,VSA,climax,co_vung,grade,tp_vuong_vung,KQ,ket_thuc_luc,chi_tiet
2026-08-03 15:33,CBR,SHORT,4111.8,4114.8,3.0,4099.8,4,1.65,-,0,B,0.6R,LOSS,2026-08-03 15:35,"mép 4118.831 · hồi 42% · leg 8.8giá · VSA vào 1.6x · VSA phá 2.1x · TP vướng vùng ↧0.6R"
2026-08-04 08:41,CBR,LONG,4112.5,4107.7,4.8,4131.7,4,1.70,-,0,B,0.2R,LOSS,2026-08-04 10:44,"mép 4104.741 · hồi 51% · leg 6.5giá · VSA vào 1.7x · VSA phá 2.6x · TP vướng vùng ↧0.2R"
2026-08-10 20:49,CBR,SHORT,4385.8,4389.4,3.6,4371.4,4,1.33,-,1,B,1.1R,LOSS,2026-08-10 21:14,"mép 4396.842 · hồi 45% · leg 13.8giá · VSA vào 1.3x · VSA phá 2.7x · TP vướng vùng ↧1.1R"
2026-08-12 02:12,CBR,SHORT,4424.5,4427.5,3.0,4412.5,4,2.14,-,0,B,3.0R,LOSS,2026-08-12 02:24,"mép 4428.312 · hồi 70% · leg 6.0giá · VSA vào 2.1x · VSA phá 4.5x · TP vướng vùng ↧3.0R"
2026-08-13 20:33,CBR,SHORT,4436.6,4443.3,6.7,4409.8,4,2.14,-,1,B,0.1R,WIN,2026-08-13 21:30,"mép 4445.492 · hồi 68% · leg 7.5giá · VSA vào 2.1x · VSA phá 2.6x · TP vướng vùng ↧0.1R"
2026-08-14 21:04,CBR,LONG,4448.6,4444.8,3.8,4463.8,4,1.64,-,0,B,0.8R,LOSS,2026-08-14 21:11,"mép 4437.995 · hồi 43% · leg 12.3giá · VSA vào 1.6x · VSA phá 2.6x · TP vướng vùng ↧0.8R"
2026-08-14 22:11,CBR,LONG,4445.3,4442.3,3.0,4457.3,4,0.84,-,0,B,2.2R,LOSS,2026-08-14 22:22,"mép 4438.093 · hồi 52% · leg 10.1giá · VSA vào 0.8x · VSA phá 3.6x · TP vướng vùng ↧2.2R"
2026-08-17 07:52,CBR,LONG,4453.0,4449.8,3.2,4465.8,4,3.64,tim,0,B,0.5R,WIN,2026-08-17 08:04,"mép 4449.5 · hồi 88% · leg 4.1giá · VSA vào 3.6x tím · VSA phá 3.5x · TP vướng vùng ↧0.5R"
2026-08-17 17:20,CBR,LONG,4453.9,4450.9,3.0,4465.9,4,1.43,-,0,B,0.2R,LOSS,2026-08-17 17:26,"mép 4449.5 · hồi 71% · leg 7.3giá · VSA vào 1.4x · VSA phá 2.5x · TP vướng vùng ↧0.2R"
2026-08-17 19:29,CBR,SHORT,4441.7,4446.7,5.0,4421.7,4,1.08,-,0,B,1.3R,LOSS,2026-08-17 19:30,"mép 4449.5 · hồi 75% · leg 12.0giá · VSA vào 1.1x · VSA phá 9.3x · TP vướng vùng ↧1.3R"
2026-08-18 00:32,CBR,LONG,4475.4,4470.9,4.5,4493.4,4,2.01,-,0,B,-,LOSS,2026-08-18 00:39,"mép 4467.5 · hồi 51% · leg 7.3giá · VSA vào 2.0x · VSA phá 5.9x"
2026-08-18 15:10,CBR,SHORT,4444.7,4447.7,3.0,4432.7,4,1.93,-,2,A,0.5R,LOSS,2026-08-18 15:12,"mép 4449.5 · hồi 44% · leg 4.1giá · VSA vào 1.9x · VSA phá 5.5x · hợp lưu ×2 · TP vướng vùng ↧0.5R"
2026-08-18 21:34,CBR,SHORT,4446.0,4452.7,6.7,4419.2,4,1.10,-,1,B,0.1R,WIN,2026-08-18 21:59,"mép 4467.5 · hồi 43% · leg 26.3giá · VSA vào 1.1x · VSA phá 2.0x · TP vướng vùng ↧0.1R"
2026-08-18 22:18,CBR,SHORT,4414.4,4420.9,6.5,4388.4,4,0.83,-,0,B,-,LOSS,2026-08-18 22:51,"mép 4430.8 · hồi 46% · leg 18.8giá · VSA vào 0.8x · VSA phá 2.5x"
2026-08-24 14:45,QUAY_DAU,LONG,4689.7,4686.8,2.9,4694.05,1.5,2.76,tim,1,B,0.2R,LOSS,2026-08-24 14:47,"đảo chiều vùng 4689.34 · rút râu dưới · VSA 2.8x tím · hấp thụ ✓ · TP vướng vùng ↧0.2R"
2026-08-24 16:04,CBR,LONG,4697.8,4694.8,3.0,4709.8,4,0.86,-,0,B,0.7R,LOSS,2026-08-24 16:11,"mép 4689.862 · hồi 42% · leg 8.8giá · VSA vào 0.9x · VSA phá 2.4x · TP vướng vùng ↧0.7R"
2026-08-25 00:11,CBR,LONG,4711.3,4706.4,4.9,4730.9,4,0.81,-,0,B,-,LOSS,2026-08-25 00:16,"mép 4705.396 · hồi 84% · leg 7.3giá · VSA vào 0.8x · VSA phá 3.5x"
2026-08-25 01:16,CBR,SHORT,4687.1,4691.7,4.6,4668.7,4,0.86,-,0,B,1.8R,LOSS,2026-08-25 01:22,"mép 4704.707 · hồi 44% · leg 23.5giá · VSA vào 0.9x · VSA phá 4.4x · TP vướng vùng ↧1.8R"
2026-08-25 01:31,CBR,SHORT,4694.3,4698.9,4.6,4675.9,4,1.51,-,1,B,0.8R,LOSS,2026-08-25 02:19,"mép 4704.347 · hồi 41% · leg 9.6giá · VSA vào 1.5x · VSA phá 2.4x · TP vướng vùng ↧0.8R"
2026-08-26 19:35,CBR,SHORT,4675.5,4681.7,6.2,4650.7,4,1.26,-,0,B,0.3R,LOSS,2026-08-26 19:51,"mép 4700.779 · hồi 43% · leg 33.9giá · VSA vào 1.3x · VSA phá 6.3x · TP vướng vùng ↧0.3R"
