bar_idx,datetime,open,high,low,close,bar_volume,bar_ticks,bid_vol,ask_vol,volume,delta,delta_finish,max_delta,min_delta,cum_delta,trades,buy_trades,sell_trades,max_one_trade,avg_size,avg_buy_size,avg_sell_size,levels,poc_price,poc_volume,open_interest
0,2024-08-05 19:07:00,2640.0,2640.0,2640.0,2640.0,1,1,1,0,1,-1,-1,-1,-1,-1,1,0,0,0,1,0,0,1,2640.0,1,10
1,2024-08-05 19:08:00,2640.0,2640.0,2640.0,2640.0,1,1,1,0,1,-1,-1,-1,-1,-2,1,0,0,0,1,0,0,1,2640.0,1,10
2,2024-08-13 12:46:00,2710.0,2710.0,2710.0,2710.0,1,1,1,0,1,-1,-1,-1,-1,-3,1,0,0,0,1,0,0,1,2710.0,1,21
3,2024-08-19 13:52:00,2730.0,2730.0,2730.0,2730.0,1,1,0,1,1,1,1,1,1,1,1,0,0,0,1,0,0,1,2730.0,1,21
4,2024-09-04 09:16:00,2700.0,2700.0,2700.0,2700.0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,2700.0,1,29
5,2024-09-05 07:22:00,2720.0,2720.0,2720.0,2720.0,1,1,0,1,1,1,1,1,1,1,1,0,0,0,1,0,0,1,2720.0,1,29
6,2024-09-11 18:39:00,2733.7,2733.7,2733.7,2733.7,1,1,1,0,1,-1,-1,-1,-1,0,1,0,0,0,1,0,0,1,2733.7,1,30
7,2024-09-27 07:39:00,2890.5,2890.5,2890.5,2890.5,1,1,1,0,1,-1,-1,-1,-1,-1,1,0,0,0,1,0,0,1,2890.5,1,30
8,2024-09-30 13:47:00,2860.6,2860.6,2860.6,2860.6,1,1,1,0,1,-1,-1,-1,-1,-1,1,0,0,0,1,0,0,1,2860.6,1,30
9,2024-10-02 14:02:00,2890.0,2890.0,2890.0,2890.0,1,1,1,0,1,-1,-1,-1,-1,-1,1,0,0,0,1,0,0,1,2890.0,1,30
10,2024-10-02 14:04:00,2890.0,2890.0,2890.0,2890.0,2,2,2,0,2,-2,-2,-2,-2,-3,2,0,0,0,1,0,0,1,2890.0,2,30
11,2024-10-22 05:13:00,2982.1,2982.1,2982.1,2982.1,1,1,0,1,1,1,1,1,1,1,1,0,0,0,1,0,0,1,2982.1,1,30
12,2024-10-29 06:49:00,3000.0,3000.0,3000.0,3000.0,1,1,1,0,1,-1,-1,-1,-1,0,1,0,0,0,1,0,0,1,3000.0,1,34
13,2024-10-31 14:38:00,2997.6,2997.6,2997.6,2997.6,1,1,1,0,1,-1,-1,-1,-1,-1,1,0,0,0,1,0,0,1,2997.6,1,35
14,2024-10-31 14:40:00,2997.6,2997.6,2997.6,2997.6,3,3,3,0,3,-3,-3,-3,-3,-4,3,0,0,0,1,0,0,1,2997.6,3,39
15,2024-10-31 18:40:00,2988.7,2988.7,2988.7,2988.7,2,2,0,2,2,2,2,2,2,2,2,0,0,0,1,0,0,1,2988.7,2,39
16,2024-10-31 18:41:00,2987.3,2987.3,2987.3,2987.3,1,1,0,1,1,1,1,1,1,3,1,0,0,0,1,0,0,1,2987.3,1,39
17,2024-10-31 19:57:00,2987.3,2987.3,2987.3,2987.3,1,1,0,1,1,1,1,1,1,4,1,0,0,0,1,0,0,1,2987.3,1,39
18,2024-11-01 04:07:00,2987.6,2987.6,2987.6,2987.6,2,2,0,2,2,2,2,2,2,6,2,0,0,0,1,0,0,1,2987.6,2,40
19,2024-11-01 14:43:00,2987.1,2987.1,2987.1,2987.1,1,1,1,0,1,-1,-1,-1,-1,5,1,0,0,0,1,0,0,1,2987.1,1,40
20,2024-11-11 13:00:00,2900.0,2900.0,2900.0,2900.0,1,1,1,0,1,-1,-1,-1,-1,-1,1,0,0,0,1,0,0,1,2900.0,1,43
21,2024-11-13 23:23:00,2810.0,2810.0,2810.0,2810.0,1,1,0,1,1,1,1,1,1,1,1,0,0,0,1,0,0,1,2810.0,1,43
22,2024-12-09 04:49:00,2854.0,2854.0,2854.0,2854.0,2,1,2,0,2,-2,-2,-2,-2,-2,1,0,0,0,2,0,0,1,2854.0,2,41
23,2024-12-09 04:57:00,2873.1,2873.1,2873.1,2873.1,2,1,0,2,2,2,2,2,2,0,1,0,0,0,2,0,0,1,2873.1,2,41
24,2024-12-09 14:44:00,2900.0,2900.0,2900.0,2900.0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,2900.0,1,41
25,2024-12-12 15:42:00,2918.0,2918.0,2918.0,2918.0,1,1,1,0,1,-1,-1,-1,-1,-1,1,0,0,0,1,0,0,1,2918.0,1,40
26,2024-12-13 19:14:00,2895.0,2895.0,2895.0,2895.0,1,1,1,0,1,-1,-1,-1,-1,-1,1,0,0,0,1,0,0,1,2895.0,1,39
27,2025-01-16 02:38:00,2965.0,2965.0,2965.0,2965.0,1,1,0,1,1,1,1,1,1,1,1,0,0,0,1,0,0,1,2965.0,1,31
28,2025-01-16 18:19:00,3000.0,3000.0,3000.0,3000.0,1,1,1,0,1,-1,-1,-1,-1,-1,1,0,0,0,1,0,0,1,3000.0,1,31
29,2025-01-16 18:21:00,3000.0,3000.0,3000.0,3000.0,1,1,0,0,1,0,0,0,0,-1,1,0,0,0,1,0,0,1,3000.0,1,31
30,2025-01-16 18:28:00,2990.0,2990.0,2990.0,2990.0,1,1,0,1,1,1,1,1,1,0,1,0,0,0,1,0,0,1,2990.0,1,31
31,2025-01-16 18:35:00,2990.0,2990.0,2990.0,2990.0,1,1,1,0,1,-1,-1,-1,-1,-1,1,0,0,0,1,0,0,1,2990.0,1,31
32,2025-01-17 20:07:00,2990.0,2990.0,2990.0,2990.0,1,1,1,0,1,-1,-1,-1,-1,-1,1,0,0,0,1,0,0,1,2990.0,1,31
33,2025-01-22 02:11:00,3003.0,3003.0,3003.0,3003.0,1,1,0,1,1,1,1,1,1,1,1,0,0,0,1,0,0,1,3003.0,1,33
34,2025-02-14 15:32:00,3150.0,3150.0,3150.0,3150.0,1,1,1,0,1,-1,-1,-1,-1,-1,1,0,0,0,1,0,0,1,3150.0,1,33
35,2025-02-28 03:42:00,3115.0,3115.0,3115.0,3115.0,1,1,1,0,1,-1,-1,-1,-1,-2,1,0,0,0,1,0,0,1,3115.0,1,34
36,2025-03-07 15:00:00,3169.1,3169.1,3169.1,3169.1,1,1,0,1,1,1,1,1,1,-1,1,0,0,0,1,0,0,1,3169.1,1,35
37,2025-03-11 06:33:00,3130.8,3130.8,3130.8,3130.8,1,1,0,1,1,1,1,1,1,1,1,0,0,0,1,0,0,1,3130.8,1,34
38,2025-03-20 00:44:00,3294.2,3294.4,3294.2,3294.4,4,3,2,2,4,0,0,0,0,0,3,0,0,0,1.3333,0,0,2,3294.4,3,32
39,2025-03-20 10:21:00,3274.8,3274.8,3274.8,3274.8,1,1,1,0,1,-1,-1,-1,-1,-1,1,0,0,0,1,0,0,1,3274.8,1,32
40,2025-03-27 10:36:00,3290.4,3290.4,3290.4,3290.4,1,1,1,0,1,-1,-1,-1,-1,-2,1,0,0,0,1,0,0,1,3290.4,1,35
41,2025-03-30 22:04:00,3318.0,3318.0,3318.0,3318.0,1,1,1,0,1,-1,-1,-1,-1,-1,1,0,0,0,1,0,0,1,3318.0,1,34
42,2025-03-31 08:46:00,3349.7,3349.7,3349.7,3349.7,1,1,0,1,1,1,1,1,1,0,1,0,0,0,1,0,0,1,3349.7,1,34
43,2025-03-31 16:13:00,3347.3,3347.3,3347.3,3347.3,1,1,0,1,1,1,1,1,1,1,1,0,0,0,1,0,0,1,3347.3,1,34
44,2025-04-01 10:19:00,3360.0,3360.0,3360.0,3360.0,1,1,0,1,1,1,1,1,1,1,1,0,0,0,1,0,0,1,3360.0,1,34
45,2025-04-01 16:38:00,3342.9,3342.9,3342.9,3342.9,1,1,1,0,1,-1,-1,-1,-1,0,1,0,0,0,1,0,0,1,3342.9,1,33
46,2025-04-02 00:31:00,3350.0,3350.0,3350.0,3350.0,1,1,1,0,1,-1,-1,-1,-1,-1,1,0,0,0,1,0,0,1,3350.0,1,33
47,2025-04-02 16:56:00,3372.1,3372.1,3372.1,3372.1,1,1,1,0,1,-1,-1,-1,-1,-2,1,0,0,0,1,0,0,1,3372.1,1,33
48,2025-04-02 22:25:00,3367.8,3367.8,3367.8,3367.8,1,1,0,1,1,1,1,1,1,1,1,0,0,0,1,0,0,1,3367.8,1,33
49,2025-04-02 23:26:00,3377.5,3377.5,3377.5,3377.5,1,1,1,0,1,-1,-1,-1,-1,0,1,0,0,0,1,0,0,1,3377.5,1,33
50,2025-04-03 00:19:00,3371.9,3371.9,3371.9,3371.9,1,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,3371.9,1,33
51,2025-04-03 01:34:00,3375.3,3375.3,3375.3,3375.3,1,1,0,1,1,1,1,1,1,1,1,0,0,0,1,0,0,1,3375.3,1,33
52,2025-04-03 05:31:00,3354.2,3354.2,3354.2,3354.2,1,1,0,1,1,1,1,1,1,2,1,0,0,0,1,0,0,1,3354.2,1,33
53,2025-04-03 10:29:00,3324.0,3324.0,3324.0,3324.0,1,1,0,1,1,1,1,1,1,3,1,0,0,0,1,0,0,1,3324.0,1,33
54,2025-04-03 11:31:00,3310.0,3310.0,3310.0,3310.0,1,1,0,0,1,0,0,0,0,3,1,0,0,0,1,0,0,1,3310.0,1,33
55,2025-04-03 14:10:00,3326.5,3326.5,3326.5,3326.5,1,1,1,0,1,-1,-1,-1,-1,2,1,0,0,0,1,0,0,1,3326.5,1,33
56,2025-04-03 14:50:00,3352.4,3352.4,3352.4,3352.4,1,1,0,1,1,1,1,1,1,3,1,0,0,0,1,0,0,1,3352.4,1,33
57,2025-04-03 15:11:00,3339.8,3339.8,3339.8,3339.8,1,1,1,0,1,-1,-1,-1,-1,2,1,0,0,0,1,0,0,1,3339.8,1,33
58,2025-04-04 08:16:00,3308.2,3308.2,3308.2,3308.2,1,1,1,0,1,-1,-1,-1,-1,-1,1,0,0,0,1,0,0,1,3308.2,1,33
59,2025-04-04 10:26:00,3320.5,3320.5,3320.5,3320.5,1,1,1,0,1,-1,-1,-1,-1,-2,1,0,0,0,1,0,0,1,3320.5,1,33
60,2025-04-04 11:33:00,3341.1,3341.1,3341.1,3341.1,1,1,1,0,1,-1,-1,-1,-1,-3,1,0,0,0,1,0,0,1,3341.1,1,33
61,2025-04-04 11:48:00,3322.9,3322.9,3322.9,3322.9,1,1,1,0,1,-1,-1,-1,-1,-4,1,0,0,0,1,0,0,1,3322.9,1,33
62,2025-04-04 12:56:00,3287.4,3287.4,3287.4,3287.4,1,1,1,0,1,-1,-1,-1,-1,-5,1,0,0,0,1,0,0,1,3287.4,1,33
63,2025-04-04 13:19:00,3297.0,3297.0,3297.0,3297.0,1,1,1,0,1,-1,-1,-1,-1,-6,1,0,0,0,1,0,0,1,3297.0,1,33
64,2025-04-04 14:00:00,3278.0,3278.0,3278.0,3278.0,1,1,1,0,1,-1,-1,-1,-1,-7,1,0,0,0,1,0,0,1,3278.0,1,33
65,2025-04-04 15:25:00,3250.0,3250.0,3250.0,3250.0,1,1,0,0,1,0,0,0,0,-7,1,0,0,0,1,0,0,1,3250.0,1,33
66,2025-04-04 16:05:00,3237.1,3237.1,3237.1,3237.1,1,1,0,1,1,1,1,1,1,-6,1,0,0,0,1,0,0,1,3237.1,1,33
67,2025-04-04 18:46:00,3234.0,3234.0,3234.0,3234.0,1,1,1,0,1,-1,-1,-1,-1,-1,1,0,0,0,1,0,0,1,3234.0,1,33
68,2025-04-04 19:25:00,3247.4,3247.4,3247.4,3247.4,1,1,1,0,1,-1,-1,-1,-1,-2,1,0,0,0,1,0,0,1,3247.4,1,33
69,2025-04-06 23:53:00,3198.5,3198.5,3198.5,3198.5,1,1,1,0,1,-1,-1,-1,-1,-1,1,0,0,0,1,0,0,1,3198.5,1,33
70,2025-04-07 00:03:00,3211.0,3211.0,3211.0,3211.0,1,1,0,0,1,0,0,0,0,-1,1,0,0,0,1,0,0,1,3211.0,1,35
71,2025-04-07 00:06:00,3206.0,3206.0,3206.0,3206.0,1,1,0,0,1,0,0,0,0,-1,1,0,0,0,1,0,0,1,3206.0,1,35
72,2025-04-07 00:10:00,3190.0,3190.0,3190.0,3190.0,1,1,0,0,1,0,0,0,0,-1,1,0,0,0,1,0,0,1,3190.0,1,35
73,2025-04-07 14:05:00,3225.0,3225.0,3225.0,3225.0,1,1,1,0,1,-1,-1,-1,-1,-2,1,0,0,0,1,0,0,1,3225.0,1,35
74,2025-04-07 14:09:00,3225.0,3225.0,3225.0,3225.0,1,1,1,0,1,-1,-1,-1,-1,-3,1,0,0,0,1,0,0,1,3225.0,1,35
75,2025-04-07 16:10:00,3190.0,3190.0,3190.0,3190.0,1,1,0,1,1,1,1,1,1,-2,1,0,0,0,1,0,0,1,3190.0,1,35
76,2025-04-07 17:32:00,3169.5,3169.5,3169.5,3169.5,1,1,0,1,1,1,1,1,1,1,1,0,0,0,1,0,0,1,3169.5,1,35
77,2025-04-07 17:33:00,3170.0,3170.0,3170.0,3170.0,1,1,1,0,1,-1,-1,-1,-1,0,1,0,0,0,1,0,0,1,3170.0,1,35
78,2025-04-08 02:17:00,3210.4,3210.4,3210.4,3210.4,1,1,1,0,1,-1,-1,-1,-1,-1,1,0,0,0,1,0,0,1,3210.4,1,35
79,2025-04-08 17:31:00,3188.2,3188.2,3188.2,3188.2,1,1,0,1,1,1,1,1,1,1,1,0,0,0,1,0,0,1,3188.2,1,42
